---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 136| Su: 0.0| Fa: 0.21875| Sl: 0.78125| WC: 93.65625| IT: 169.0625| IR: 26.28125| DI: nan| CI: nan
Maze 137| Su: 0.0| Fa: 0.25| Sl: 0.75| WC: 88.28125| IT: 173.90625| IR: 23.09375| DI: nan| CI: nan
Maze 138| Su: 0.03125| Fa: 0.28125| Sl: 0.6875| WC: 86.28125| IT: 168.53125| IR: 23.21875| DI: 19.0| CI: 1.4285714285714286
Maze 139| Su: 0.46875| Fa: 0.28125| Sl: 0.25| WC: 62.90625| IT: 111.65625| IR: 13.09375| DI: 22.572457912457914| CI: 23.911111111111108
Maze 140| Su: 0.125| Fa: 0.1875| Sl: 0.6875| WC: 93.375| IT: 166.65625| IR: 22.59375| DI: 16.503623188405797| CI: 21.916666666666668
Maze 141| Su: 0.59375| Fa: 0.28125| Sl: 0.125| WC: 26.375| IT: 52.375| IR: 5.875| DI: 14.179824561403507| CI: 15.535087719298247
Maze 142| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 37.40625| IT: 68.875| IR: 8.84375| DI: 26.03533026113671| CI: 48.7741935483871
Maze 143| Su: 0.15625| Fa: 0.03125| Sl: 0.8125| WC: 84.8125| IT: 166.21875| IR: 21.1875| DI: 14.285294117647059| CI: 23.913333333333334
Maze 144| Su: 0.03125| Fa: 0.3125| Sl: 0.65625| WC: 86.8125| IT: 169.75| IR: 23.09375| DI: 14.35| CI: 10.666666666666666
Maze 145| Su: 0.25| Fa: 0.125| Sl: 0.625| WC: 75.625| IT: 152.96875| IR: 20.59375| DI: 18.34294871794872| CI: 26.391666666666666
