---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 9.4375| IT: 37.125| IR: 3.8125| DI: 3.9334086484983315| CI: 1.2734375
Maze 133| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 1.46875| IT: 7.875| IR: 0.4375| DI: 1.897066993464052| CI: 1.0833333333333333
Maze 134| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.5625| IT: 11.65625| IR: 1.40625| DI: nan| CI: nan
Maze 135| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.53125| IT: 1.75| IR: 0.0| DI: nan| CI: nan
Maze 136| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.28125| IT: 3.53125| IR: 0.09375| DI: nan| CI: nan
Maze 137| Su: 0.125| Fa: 0.875| Sl: 0.0| WC: 1.875| IT: 5.59375| IR: 0.40625| DI: 1.831578947368421| CI: 1.0
Maze 138| Su: 0.6875| Fa: 0.3125| Sl: 0.0| WC: 1.71875| IT: 6.09375| IR: 0.46875| DI: 1.584522144522145| CI: 1.2272727272727273
Maze 139| Su: 0.875| Fa: 0.09375| Sl: 0.03125| WC: 3.0| IT: 11.375| IR: 1.0| DI: 2.319480519480519| CI: 1.1830357142857142
Maze 140| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.1875| IT: 6.53125| IR: 0.375| DI: nan| CI: nan
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.21875| IR: 0.0| DI: 1.1135416666666667| CI: 1.0989583333333335
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 0.75| IR: 0.0| DI: 1.3130580357142856| CI: 1.1458333333333335
Maze 143| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 2.03125| IT: 6.34375| IR: 0.25| DI: 2.1056820577693443| CI: 1.0752688172043012
Maze 144| Su: 0.78125| Fa: 0.21875| Sl: 0.0| WC: 2.09375| IT: 12.5625| IR: 2.59375| DI: 2.653097744360902| CI: 1.1213333333333333
Maze 145| Su: 0.59375| Fa: 0.1875| Sl: 0.21875| WC: 8.75| IT: 50.6875| IR: 9.03125| DI: 1.9151243493348755| CI: 1.2343358395989974
