---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.5625| IR: 0.0| DI: 1.1772693452380953| CI: 1.1484375
Maze 127| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.90625| IR: 0.0625| DI: 1.4210227272727272| CI: 1.1875
Maze 128| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.15625| IT: 1.0625| IR: 0.3125| DI: 1.3095706484348124| CI: 1.0
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.65625| IR: 0.0| DI: 2.3125| CI: 1.03125
Maze 130| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 0.875| IR: 0.0| DI: 1.1505580357142857| CI: 1.03125
Maze 131| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.125| IR: 0.0| DI: 1.5383184523809526| CI: 1.0625
Maze 132| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.28125| IR: 0.0625| DI: 1.1811580882352941| CI: 1.0546875
Maze 133| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 1.34375| IR: 0.0| DI: 1.41015625| CI: 1.078125
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.625| IR: 0.0| DI: 1.1795770202020202| CI: 1.1614583333333335
Maze 135| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.8125| IT: 1.03125| IR: 0.28125| DI: 1.3576572677741163| CI: 1.096774193548387
Maze 136| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 0.59375| IR: 0.0| DI: 1.1889260912698414| CI: 1.015625
Maze 137| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.34375| IR: 0.0| DI: 1.1739583333333332| CI: 1.1145833333333335
Maze 138| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.8125| IR: 0.0| DI: 1.2007688492063493| CI: 1.1328125
Maze 139| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.4375| IR: 0.0| DI: 1.2234375| CI: 1.234375
Maze 140| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.40625| IR: 0.0| DI: 1.1229166666666668| CI: 1.0859375
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.40625| IR: 0.0| DI: 1.122767857142857| CI: 1.109375
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.5| IR: 0.09375| DI: 1.241735347985348| CI: 1.2708333333333335
Maze 143| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.65625| IR: 0.0| DI: 1.2116815476190474| CI: 1.0625
Maze 144| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.4375| IR: 0.0| DI: 1.193452380952381| CI: 1.2078125
